11,BAPTIST MEDICAL CENTER SOUTH,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,918.98 ",2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116
12,JACKSON HOSPITAL & CLINIC INC,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,691.32 ",1725 PINE STREET,MONTGOMERY,AL,36106
13,GEORGE H. LANIER MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,364.17 ",4800 48TH ST,VALLEY,AL,36854
14,EAST ALABAMA MEDICAL CENTER AND SNF,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,730.81 ",2000 PEPPERELL PARKWAY,OPELIKA,AL,36801
15,UNIVERSITY OF ALABAMA HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,242.06 ",619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233
16,CULLMAN REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,411.07 ",1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058
17,ANDALUSIA REGIONAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,778.67 ",849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420
18,STRINGFELLOW MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,964.67 ",301 EAST 18TH ST,ANNISTON,AL,36201
19,HUNTSVILLE HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,543.02 ",101 SIVLEY RD,HUNTSVILLE,AL,35801
20,GADSDEN REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,889.09 ",1007 GOODYEAR AVENUE,GADSDEN,AL,35903
21,RIVERVIEW REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,638.80 ",600 SOUTH THIRD STREET,GADSDEN,AL,35901
22,MEDICAL CENTER ENTERPRISE,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,276.55 ",400 N EDWARDS STREET,ENTERPRISE,AL,36330
23,PARKWAY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$17,176.58 ",1874 BELTLINE RD SW,DECATUR,AL,35601
24,FLOWERS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,959.29 ",4370 WEST MAIN STREET,DOTHAN,AL,36305
25,ST VINCENT'S BIRMINGHAM,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,844.65 ",810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205
26,HIGHLANDS MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,938.00 ",380 WOODS COVE ROAD,SCOTTSBORO,AL,35768
27,RUSSELL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,003.69 ",3316 HIGHWAY 280,ALEXANDER CITY,AL,35010
28,NORTHEAST ALABAMA REGIONAL MED CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,988.12 ",400 EAST 10TH STREET,ANNISTON,AL,36207
29,SOUTH BALDWIN REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,667.27 ",1613 NORTH MCKENZIE STREET,FOLEY,AL,36535
30,DECATUR GENERAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,600.69 ",1201 7TH STREET SE,DECATUR,AL,35609
31,NORTHWEST MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,925.63 ",1530 U S HIGHWAY 43,WINFIELD,AL,35594
32,UNIV OF SOUTH ALABAMA MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,691.90 ",2451 FILLINGIM STREET,MOBILE,AL,36617
33,WALKER BAPTIST MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,832.39 ",3400 HIGHWAY 78 EAST,JASPER,AL,35502
34,PROVIDENCE HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,916.02 ",6801 AIRPORT BOULEVARD,MOBILE,AL,36608
35,D C H REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,674.42 ",809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401
36,THOMAS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,159.57 ",750 MORPHY AVENUE,FAIRHOPE,AL,36532
37,BAPTIST MEDICAL CENTER-PRINCETON,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,502.91 ",701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211
38,TRINITY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,942.89 ",800 MONTCLAIR RD,BIRMINGHAM,AL,35213
39,BRYAN W WHITFIELD MEM HOSP INC,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,786.25 ",105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732
40,MOBILE INFIRMARY,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,164.55 ",5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652
41,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,479.71 ",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021
42,VAUGHAN REG MED CENTER PARKWAY CAMPUS,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,665.85 ",1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701
43,TROY REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,478.88 ",1330 HIGHWAY 231 SOUTH,TROY,AL,36081
44,CRESTWOOD MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,918.76 ",ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801
45,BROOKWOOD MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,674.24 ",2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209
46,SPRINGHILL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,046.47 ",3719 DAUPHIN STREET,MOBILE,AL,36608
47,NORTHPORT MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,456.06 ",2700 HOSPITAL DRIVE,NORTHPORT,AL,35476
48,BAPTIST MEDICAL CENTER EAST,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,417.82 ",400 TAYLOR ROAD,MONTGOMERY,AL,36117
49,L V STABLER MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,015.96 ",29 L V STABLER DRIVE,GREENVILLE,AL,36037
50,INFIRMARY WEST,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,856.00 ",5600 GIRBY RD,MOBILE,AL,36693
51,SHOALS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,689.87 ",201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661
52,RUSSELLVILLE HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,771.00 ",15155 HIGHWAY 43,RUSSELLVILLE,AL,35653
53,JACK HUGHSTON MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,954.75 ",4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867
54,PROVIDENCE ALASKA MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$19,190.53 ",BOX 196604,ANCHORAGE,AK,99519
55,MAT-SU REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$23,474.05 ",2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645
56,BARTLETT REGIONAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$21,555.88 ",3260 HOSPITAL DR,JUNEAU,AK,99801
57,FAIRBANKS MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$30,920.29 ",1650 COWLES STREET,FAIRBANKS,AK,99701
58,ALASKA REGIONAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$17,540.26 ",2801 DEBARR ROAD,ANCHORAGE,AK,99508
59,CENTRAL PENINSULA GENERAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$22,648.21 ",250 HOSPITAL PLACE,SOLDOTNA,AK,99669
60,ALASKA NATIVE MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$26,599.34 ",4315 DIPLOMACY DR,ANCHORAGE,AK,99508
61,BANNER GOOD SAMARITAN MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,348.93 ",1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006
62,TUCSON MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,660.83 ",5301 EAST GRANT ROAD,TUCSON,AZ,85712
63,VERDE VALLEY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$19,110.34 ",269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326
64,CARONDELET ST  MARYS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,446.01 ",1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745
65,CARONDELET ST JOSEPHS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,405.15 ",350 NORTH WILMOT ROAD,TUCSON,AZ,85711
66,YAVAPAI REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,392.60 ",1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301
67,YUMA REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,474.91 ",2400 SOUTH AVENUE A,YUMA,AZ,85364
68,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,698.03 ",250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020
69,CASA GRANDE REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,393.33 ",1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222
70,FLAGSTAFF MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$22,435.24 ",1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001
71,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$19,223.70 ",350 WEST THOMAS ROAD,PHOENIX,AZ,85013
72,PHOENIX BAPTIST HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,910.17 ",2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015
73,PAYSON REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,224.21 ",807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541
74,CHANDLER REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,291.99 ",475 SOUTH DOBSON ROAD,CHANDLER,AZ,85224
75,ST LUKES MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,458.37 ",1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006
76,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,698.74 ",7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251
77,SIERRA VISTA REGIONAL HEALTH CENTER INC,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,506.36 ",300 EL CAMINO REAL,SIERRA VISTA,AZ,85635
78,KINGMAN REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,606.14 ",3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409
79,BANNER BOSWELL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,052.64 ",10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351
80,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$18,437.81 ",2200 SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901
81,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$19,743.72 ",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724
82,BANNER DESERT MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,831.79 ",1400 SOUTH  DOBSON ROAD,MESA,AZ,85202
83,MT GRAHAM REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$21,180.00 ",1600  SOUTH 20TH AVENUE,SAFFORD,AZ,85546
84,HAVASU REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,376.29 ",101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,86403
85,TUBA CITY REGIONAL HEALTH CARE CORPORATION,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$18,359.52 ",PO BOX 600,TUBA CITY,AZ,86045
86,PARADISE VALLEY HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,383.57 ",3929 EAST BELL ROAD,PHOENIX,AZ,85032
87,NORTHWEST MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,525.30 ",6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741
88,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,785.12 ",9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260
89,BANNER BAYWOOD MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,572.98 ",6644 EAST BAYWOOD AVENUE,MESA,AZ,85206
90,BANNER THUNDERBIRD MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,336.26 ",5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306
91,JOHN C LINCOLN DEER VALLEY HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,023.90 ",19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027
92,BANNER DEL E WEBB MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,578.05 ",14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375
93,ARROWHEAD HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,662.77 ",18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308
94,WESTERN ARIZONA REGIONAL MEDICAL CTR,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,476.09 ",2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442
95,MAYO CLINIC HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,300.18 ",5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054
96,ARIZONA SPINE AND JOINT HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,046.89 ",4620 EAST BASELINE ROAD,MESA,AZ,85206
97,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,435.21 ",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015
98,WEST VALLEY HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,898.33 ",13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395
99,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,986.24 ",2905 WEST WARNER ROAD,CHANDLER,AZ,85225
100,ORO VALLEY HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,486.26 ",1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755
101,FLORIDA HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,852.83 ",601 E ROLLINS ST,ORLANDO,FL,32803
102,BANNER ESTRELLA MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,401.78 ",9201 WEST THOMAS ROAD,PHOENIX,AZ,85037
103,VALLEY VIEW MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$14,241.42 ",5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426
104,YAVAPAI REGIONAL MEDICAL CENTER-EAST,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$15,439.26 ",7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,AZ,86314
105,MERCY GILBERT MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,562.46 ",3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296
106,"MOUNTAIN VISTA MEDICAL CENTER, LP",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,357.80 ",1301 SOUTH CRISMON ROAD,MESA,AZ,85209
107,BANNER GATEWAY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,125.23 ",1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234
108,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,002.88 ",7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255
109,HUALAPAI MOUNTAIN MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,197.97 ",3801 SANTA ROSA DRIVE,KINGMAN,AZ,86401
110,OASIS HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,484.34 ",750 NORTH 40TH STREET,PHOENIX,AZ,85008
111,JOHNSON REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,641.00 ",1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830
112,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,123.20 ",3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703
113,ST VINCENT INFIRMARY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,389.64 ",TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205
114,MERCY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,529.33 ",2710 RIFE MEDICAL LANE,ROGERS,AR,72758
115,WHITE COUNTY MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,720.41 ",3214 EAST RACE AVENUE,SEARCY,AR,72143
116,UAMS MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$16,349.51 ",4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205
117,NORTH ARKANSAS REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,340.38 ",620 NORTH MAIN STREET,HARRISON,AR,72601
118,SUMMIT MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,134.15 ",EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956
119,ST BERNARDS MEDICAL CTR,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$13,001.96 ",225 E JACKSON,JONESBORO,AR,72401
120,"NW ARKANSAS HOSPITALS, LLC",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,710.23 ",609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764
121,ST JOSEPHS MERCY HEALTH CENTER INC,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,974.33 ",300 WERNER STREET,HOT SPRINGS,AR,71903
122,BAXTER REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,408.05 ",624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653
